CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_REDACAO
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;608.5;668.1;603.6;747.9;0;1.0;880.0
52018415.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;443.9;433.7;433.7;411.9;0;1.0;580.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;444.2;427.2;540.6;376.8;0;1.0;480.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;472.0;562.0;557.8;570.5;0;1.0;880.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;366.5;341.3;432.2;388.3;0;1.0;440.0
52018423.0;5214861.0;Nova Glória;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015386.0;5210158.0;Ipiranga de Goiás;GO;2.0;1.0;0;0;0;0;;;;;1;;
52014550.0;5219456.0;Santa Rita do Novo Destino;GO;2.0;1.0;1;1;1;1;437.1;433.8;409.8;432.6;1;1.0;480.0
52014517.0;5203203.0;Barro Alto;GO;2.0;1.0;0;0;0;0;;;;;0;;
52019802.0;5220157.0;São Luiz do Norte;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015360.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;594.0;616.0;625.5;656.7;0;1.0;840.0
52019802.0;5220157.0;São Luiz do Norte;GO;2.0;1.0;1;1;1;1;575.2;514.0;525.1;504.3;0;1.0;760.0
52019624.0;5219357.0;Santa Isabel;GO;2.0;1.0;1;1;1;1;464.2;420.8;396.2;502.4;1;1.0;320.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;483.2;477.5;553.5;511.9;1;1.0;920.0
52018318.0;5214705.0;Nova América;GO;2.0;1.0;1;1;1;1;422.0;415.3;444.1;428.8;1;1.0;480.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;516.6;454.0;521.0;600.8;0;1.0;640.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;584.5;575.1;563.6;618.6;0;1.0;860.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;1;1;1;1;474.5;398.0;476.1;421.0;1;1.0;800.0
60028921.0;5218904.0;Rubiataba;GO;2.0;2.0;0;0;0;0;;;;;0;;
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;494.4;467.5;499.3;563.0;0;1.0;700.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;396.0;402.6;453.2;577.6;1;1.0;660.0
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;587.7;657.3;592.9;667.6;0;1.0;400.0
52018938.0;5218607.0;Rialma;GO;2.0;1.0;1;1;1;1;464.0;399.2;434.9;485.2;0;1.0;540.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;451.2;444.1;454.5;474.9;0;1.0;360.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;0;;
52014584.0;5203203.0;Barro Alto;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017320.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;0;;
52019802.0;5220157.0;São Luiz do Norte;GO;2.0;1.0;1;1;1;1;631.9;634.6;601.3;646.3;1;1.0;920.0
52015386.0;5210158.0;Ipiranga de Goiás;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;1;1;0;;343.0;440.5;;1;1.0;380.0
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015998.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;471.7;377.8;473.1;398.3;1;1.0;480.0
52098834.0;5208608.0;Goianésia;GO;4.0;1.0;1;1;1;1;474.4;611.1;583.5;498.7;1;1.0;740.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;513.1;475.0;502.5;416.8;1;1.0;620.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;554.6;356.6;400.6;548.4;0;1.0;860.0
52017664.0;5211206.0;Itapuranga;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;433.6;489.7;508.4;421.6;1;1.0;720.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;486.7;458.8;394.7;375.4;0;1.0;640.0
52019802.0;5220157.0;São Luiz do Norte;GO;2.0;1.0;1;1;1;1;473.4;527.5;547.7;610.2;0;1.0;780.0
52017109.0;5209804.0;Hidrolina;GO;2.0;1.0;1;1;1;1;543.2;595.1;651.8;538.2;0;1.0;860.0
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015041.0;5205000.0;Carmo do Rio Verde;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52014584.0;5203203.0;Barro Alto;GO;2.0;1.0;0;0;0;0;;;;;0;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;1;1;0;;420.4;487.5;;0;1.0;300.0
52018423.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;456.0;355.5;439.8;410.9;1;9.0;0.0
52015041.0;5205000.0;Carmo do Rio Verde;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015351.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;567.0;489.7;474.8;518.1;1;1.0;540.0
52014517.0;5203203.0;Barro Alto;GO;2.0;1.0;1;1;1;1;540.2;426.2;466.2;439.9;0;1.0;520.0
52014584.0;5203203.0;Barro Alto;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;445.5;508.2;505.6;408.3;0;4.0;0.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;426.3;439.3;469.9;498.7;1;1.0;680.0
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;533.9;512.3;517.1;460.8;0;1.0;880.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;411.3;363.4;434.6;382.0;1;1.0;480.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;541.5;581.4;566.1;661.3;0;1.0;920.0
52018415.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;470.2;471.6;542.3;403.5;0;1.0;900.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;0;0;0;0;;;;;1;;
52098834.0;5208608.0;Goianésia;GO;4.0;1.0;1;1;1;1;585.4;556.1;582.2;581.8;1;1.0;760.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;462.5;550.6;546.6;482.6;1;1.0;800.0
52018318.0;5214705.0;Nova América;GO;2.0;1.0;1;1;1;1;393.1;499.1;492.4;443.3;1;1.0;820.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;383.0;411.9;409.8;467.3;0;1.0;640.0
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;476.6;573.4;551.6;496.4;0;1.0;620.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015041.0;5205000.0;Carmo do Rio Verde;GO;2.0;1.0;0;1;1;0;;337.3;378.7;;0;1.0;260.0
52015360.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;465.5;564.5;553.8;627.2;1;1.0;880.0
52018920.0;5218607.0;Rialma;GO;2.0;1.0;1;1;1;1;429.7;474.6;443.9;403.5;1;1.0;520.0
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;592.6;641.6;596.7;544.5;0;1.0;900.0
52017303.0;5210901.0;Itapaci;GO;4.0;1.0;1;1;1;1;583.4;525.7;585.4;637.5;0;1.0;920.0
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017664.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;524.6;555.0;498.9;617.6;1;1.0;900.0
52017320.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;0;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;442.0;450.7;504.7;700.8;0;1.0;960.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;486.6;491.1;386.7;450.4;1;1.0;700.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;0;0;0;0;;;;;0;;
52019926.0;5221700.0;Uruana;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017109.0;5209804.0;Hidrolina;GO;2.0;1.0;1;1;1;1;538.7;579.0;603.9;606.7;0;1.0;840.0
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52018415.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;460.5;509.6;498.3;515.7;0;1.0;780.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;0;;
52019195.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;537.0;539.7;569.3;695.4;0;1.0;760.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;438.1;476.8;494.2;375.7;1;1.0;820.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;507.6;423.5;514.5;645.6;0;1.0;900.0
52015459.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;499.0;496.7;514.8;480.3;1;1.0;480.0
52017109.0;5209804.0;Hidrolina;GO;2.0;1.0;1;1;1;1;428.5;521.5;502.2;559.8;1;1.0;580.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;402.9;427.5;514.6;389.8;0;1.0;560.0
52018938.0;5218607.0;Rialma;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;592.9;703.6;590.9;733.8;0;1.0;920.0
52015041.0;5205000.0;Carmo do Rio Verde;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;516.8;581.5;555.9;594.2;0;1.0;480.0
52018423.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;508.1;412.6;465.3;413.9;0;6.0;0.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;459.3;429.8;463.0;422.2;1;1.0;460.0
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;437.4;642.3;632.9;561.3;0;1.0;940.0
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017354.0;5210901.0;Itapaci;GO;2.0;1.0;0;1;1;0;;394.3;457.0;;1;4.0;0.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;494.7;552.1;401.6;406.5;0;1.0;580.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;560.9;509.7;531.4;579.1;0;1.0;680.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;469.4;579.1;577.7;600.1;1;1.0;720.0
52019250.0;5218904.0;Rubiataba;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;391.4;513.6;536.2;445.3;0;1.0;740.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;456.8;463.0;492.3;405.2;0;1.0;600.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;392.7;455.7;456.8;439.6;0;1.0;580.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52014584.0;5203203.0;Barro Alto;GO;2.0;1.0;1;1;1;1;477.5;586.4;534.1;589.2;0;4.0;0.0
52014584.0;5203203.0;Barro Alto;GO;2.0;1.0;0;0;0;0;;;;;0;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;484.6;511.2;521.7;443.4;1;1.0;840.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;466.4;544.8;524.7;429.2;0;1.0;580.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;444.7;476.9;377.2;413.3;0;1.0;520.0
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;488.1;459.8;505.6;467.4;1;1.0;640.0
52018938.0;5218607.0;Rialma;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;432.4;524.7;513.7;423.3;1;1.0;760.0
52018172.0;5213855.0;Morro Agudo de Goiás;GO;2.0;1.0;1;1;1;1;541.5;541.1;550.3;546.6;0;1.0;680.0
52018938.0;5218607.0;Rialma;GO;2.0;1.0;0;0;0;0;;;;;1;;
52019926.0;5221700.0;Uruana;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;516.4;525.5;476.9;460.6;0;1.0;580.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;558.7;429.8;530.3;434.1;1;1.0;860.0
52024741.0;5211800.0;Jaraguá;GO;2.0;1.0;0;1;1;0;;443.5;474.0;;0;1.0;460.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017320.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;0;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;556.9;567.5;521.9;613.3;0;1.0;660.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;589.7;730.2;617.9;740.4;1;1.0;920.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;360.0;408.7;357.9;443.0;0;1.0;360.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;1;1;1;1;436.8;434.5;478.7;417.3;1;1.0;400.0
52016790.0;5209291.0;Guaraíta;GO;2.0;1.0;1;1;1;1;438.0;336.7;404.9;419.2;0;4.0;0.0
52018318.0;5214705.0;Nova América;GO;2.0;1.0;1;1;1;1;473.0;516.4;495.2;440.5;0;1.0;520.0
52017320.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;452.7;352.2;482.6;527.8;0;1.0;460.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015360.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;549.6;435.2;530.4;456.4;1;1.0;320.0
52019195.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;481.8;477.7;506.5;446.7;0;1.0;820.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;530.0;600.4;542.4;671.8;0;1.0;920.0
52018938.0;5218607.0;Rialma;GO;2.0;1.0;1;1;1;1;538.0;529.1;536.9;632.4;0;1.0;640.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;477.6;404.9;421.0;490.4;1;1.0;560.0
52017354.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;0;;
52019080.0;5218706.0;Rianápolis;GO;2.0;1.0;1;1;1;1;579.0;634.3;567.9;652.8;0;1.0;800.0
52017303.0;5210901.0;Itapaci;GO;4.0;1.0;1;1;1;1;502.7;530.8;548.0;472.1;0;1.0;780.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015351.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52018423.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;387.2;501.6;517.8;412.4;1;1.0;440.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;449.6;532.0;569.5;636.7;0;1.0;860.0
60028170.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;496.8;581.8;531.7;559.5;0;1.0;640.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;368.8;472.9;473.2;454.6;0;1.0;760.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;520.1;438.4;457.3;403.4;0;1.0;460.0
52018415.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;439.1;331.8;443.4;408.2;1;4.0;0.0
52018652.0;5216908.0;Pilar de Goiás;GO;2.0;1.0;1;1;1;1;361.4;383.2;315.2;421.6;1;1.0;480.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;532.3;522.7;503.0;620.7;0;1.0;820.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015041.0;5205000.0;Carmo do Rio Verde;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015998.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;558.8;432.7;484.2;460.9;1;1.0;500.0
52019802.0;5220157.0;São Luiz do Norte;GO;2.0;1.0;1;1;1;1;453.2;462.6;458.7;500.3;1;1.0;460.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52016900.0;5209457.0;Guarinos;GO;2.0;1.0;1;1;1;1;349.9;410.2;429.0;415.6;1;1.0;320.0
52015335.0;5205406.0;Ceres;GO;4.0;1.0;0;0;0;0;;;;;0;;
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;386.7;492.1;453.6;412.6;0;1.0;720.0
52019195.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;542.5;425.2;509.3;669.4;0;1.0;860.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;505.7;591.4;602.0;622.0;1;1.0;840.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;550.9;534.6;543.7;448.5;0;1.0;560.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;1;1;1;1;379.9;459.2;438.2;410.7;1;1.0;360.0
52015742.0;5205406.0;Ceres;GO;4.0;1.0;1;1;1;1;633.7;689.2;619.3;806.1;0;1.0;960.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
60028921.0;5218904.0;Rubiataba;GO;2.0;2.0;0;0;0;0;;;;;0;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017320.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;522.8;536.5;549.7;593.9;0;1.0;900.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;565.5;361.3;373.5;504.7;0;1.0;720.0
52015033.0;5220280.0;São Patrício;GO;2.0;1.0;0;0;0;0;;;;;1;;
