TP_FAIXA_ETARIA;TP_SEXO;TP_ANO_CONCLUIU;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;SG_UF_PROVA;Q007;Q019;Q021;Q023
2;M;0;5211800;Jaraguá;GO;C;A;A;A
11;F;9;5211800;Jaraguá;GO;C;A;A;A
3;M;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;D;A;B;A
12;M;2;5208608;Goianésia;GO;D;A;A;A
3;F;0;5205406;Ceres;GO;E;A;C;E
3;M;0;5211800;Jaraguá;GO;C;A;A;A
1;F;0;5218904;Rubiataba;GO;H;A;A;A
7;M;4;5211800;Jaraguá;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
5;M;2;5205406;Ceres;GO;C;B;B;A
2;F;0;5218904;Rubiataba;GO;E;B;B;A
4;F;1;5208608;Goianésia;GO;B;A;A;A
4;F;1;5205406;Ceres;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;E;B;B;A
12;M;14;5211206;Itapuranga;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;E;A;A;A
2;F;0;5210901;Itapaci;GO;B;A;B;A
4;F;1;5211800;Jaraguá;GO;C;A;A;A
2;M;0;5210901;Itapaci;GO;D;B;B;B
3;M;0;5208608;Goianésia;GO;E;A;A;A
4;M;1;5211800;Jaraguá;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;B;A;A;A
2;M;0;5208608;Goianésia;GO;A;A;A;A
3;M;0;5211206;Itapuranga;GO;A;A;A;A
3;F;0;5208608;Goianésia;GO;C;B;A;A
3;F;1;5208608;Goianésia;GO;C;A;A;A
3;M;0;5211800;Jaraguá;GO;E;A;A;A
3;M;0;5205406;Ceres;GO;F;B;B;B
3;F;0;5211800;Jaraguá;GO;C;B;B;A
2;F;0;5205406;Ceres;GO;B;A;A;A
1;M;0;5205406;Ceres;GO;E;A;B;A
2;F;0;5211800;Jaraguá;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;F;A;B;D
2;M;0;5208608;Goianésia;GO;E;A;B;A
1;M;0;5208608;Goianésia;GO;G;B;C;D
3;F;0;5211206;Itapuranga;GO;F;B;D;B
2;F;0;5205406;Ceres;GO;N;A;B;A
3;M;0;5211800;Jaraguá;GO;B;A;A;A
2;M;0;5208608;Goianésia;GO;D;A;B;A
1;F;0;5211206;Itapuranga;GO;C;A;B;A
3;F;0;5208608;Goianésia;GO;A;A;A;A
11;F;10;5205406;Ceres;GO;D;A;A;A
2;M;0;5208608;Goianésia;GO;I;A;C;A
1;F;0;5208608;Goianésia;GO;B;A;A;A
7;F;4;5208608;Goianésia;GO;C;A;B;A
7;F;5;5208608;Goianésia;GO;C;A;A;A
13;F;0;5205406;Ceres;GO;C;A;A;A
4;F;0;5211800;Jaraguá;GO;C;A;A;A
11;M;11;5205406;Ceres;GO;B;A;A;A
1;M;0;5205406;Ceres;GO;I;B;A;A
12;F;15;5210901;Itapaci;GO;B;A;B;A
2;M;0;5210901;Itapaci;GO;A;A;A;A
1;M;0;5210901;Itapaci;GO;C;A;A;A
3;M;0;5211800;Jaraguá;GO;E;B;B;A
14;M;18;5208608;Goianésia;GO;B;A;B;A
2;F;0;5208608;Goianésia;GO;O;B;D;D
1;M;0;5218904;Rubiataba;GO;C;A;A;A
7;F;5;5205406;Ceres;GO;C;A;B;A
1;F;0;5205406;Ceres;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;C;A;A;A
1;F;0;5208608;Goianésia;GO;D;A;C;B
3;F;0;5208608;Goianésia;GO;D;A;B;A
3;F;0;5210901;Itapaci;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
2;M;0;5210901;Itapaci;GO;C;A;A;A
2;F;0;5218904;Rubiataba;GO;B;A;A;A
2;F;0;5218904;Rubiataba;GO;F;B;A;A
3;M;0;5211800;Jaraguá;GO;D;A;B;A
6;M;0;5218904;Rubiataba;GO;B;A;A;A
2;F;0;5218904;Rubiataba;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;F;B;B;A
3;F;0;5205406;Ceres;GO;B;A;B;D
2;M;0;5210901;Itapaci;GO;F;A;B;A
3;F;1;5218904;Rubiataba;GO;C;A;B;A
2;M;0;5211800;Jaraguá;GO;B;A;B;B
3;F;0;5211800;Jaraguá;GO;F;A;A;D
3;F;0;5208608;Goianésia;GO;B;A;A;A
5;F;2;5208608;Goianésia;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5211206;Itapuranga;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;F;A;A;A
2;F;0;5211206;Itapuranga;GO;J;A;C;A
3;F;1;5205406;Ceres;GO;B;A;A;A
3;F;0;5211206;Itapuranga;GO;B;A;A;A
3;F;1;5218904;Rubiataba;GO;C;A;A;A
1;F;0;5205406;Ceres;GO;B;A;A;A
4;F;2;5211206;Itapuranga;GO;D;A;B;A
3;F;1;5208608;Goianésia;GO;C;A;A;A
3;M;0;5208608;Goianésia;GO;D;B;B;A
1;M;0;5208608;Goianésia;GO;C;B;B;B
3;F;0;5210901;Itapaci;GO;D;A;B;A
3;M;0;5208608;Goianésia;GO;C;A;B;A
2;F;0;5205406;Ceres;GO;B;A;B;A
1;F;0;5205406;Ceres;GO;C;A;A;A
1;F;0;5211800;Jaraguá;GO;C;A;A;A
2;F;0;5205406;Ceres;GO;B;A;B;A
3;M;0;5205406;Ceres;GO;E;B;C;A
3;F;0;5205406;Ceres;GO;I;B;C;A
3;F;0;5210901;Itapaci;GO;A;A;A;A
3;M;0;5210901;Itapaci;GO;A;A;A;A
2;M;0;5218904;Rubiataba;GO;B;A;A;A
1;F;0;5218904;Rubiataba;GO;C;A;B;A
2;F;0;5205406;Ceres;GO;C;A;B;A
4;M;1;5211206;Itapuranga;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;D;A;A;A
2;F;0;5205406;Ceres;GO;C;A;B;A
4;F;0;5211206;Itapuranga;GO;B;A;A;A
1;F;0;5208608;Goianésia;GO;F;A;A;A
1;F;0;5208608;Goianésia;GO;B;A;B;A
3;F;1;5211800;Jaraguá;GO;C;A;A;A
1;F;0;5208608;Goianésia;GO;C;A;A;A
1;M;0;5205406;Ceres;GO;B;A;A;A
1;M;0;5211206;Itapuranga;GO;E;B;A;A
3;M;0;5210901;Itapaci;GO;E;A;B;A
1;F;0;5205406;Ceres;GO;B;A;A;A
13;F;0;5218904;Rubiataba;GO;C;A;A;F
5;F;0;5205406;Ceres;GO;B;A;B;A
2;F;0;5211206;Itapuranga;GO;A;A;A;A
3;F;0;5205406;Ceres;GO;B;A;B;A
3;M;1;5205406;Ceres;GO;D;B;A;A
1;F;0;5211206;Itapuranga;GO;B;B;B;A
2;M;0;5210901;Itapaci;GO;E;A;A;A
1;F;0;5218904;Rubiataba;GO;F;A;C;A
3;M;0;5211800;Jaraguá;GO;B;A;B;A
2;F;0;5211800;Jaraguá;GO;D;A;B;A
3;F;0;5211206;Itapuranga;GO;B;A;B;A
2;F;0;5205406;Ceres;GO;E;A;A;A
1;F;0;5218904;Rubiataba;GO;B;A;A;A
2;M;0;5211800;Jaraguá;GO;C;A;D;A
3;F;1;5205406;Ceres;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;B;A
11;F;12;5205406;Ceres;GO;B;A;B;A
3;F;0;5208608;Goianésia;GO;C;B;B;A
4;M;0;5210901;Itapaci;GO;F;A;B;C
1;F;0;5208608;Goianésia;GO;C;A;B;A
1;M;0;5205406;Ceres;GO;F;A;A;A
2;M;0;5211800;Jaraguá;GO;B;A;A;A
1;F;0;5210901;Itapaci;GO;E;B;B;A
3;M;1;5210901;Itapaci;GO;C;A;A;A
2;M;0;5211206;Itapuranga;GO;H;A;B;B
4;F;2;5208608;Goianésia;GO;B;A;B;A
3;M;0;5211800;Jaraguá;GO;E;B;A;A
1;F;0;5211800;Jaraguá;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;Q;B;E;D
2;M;0;5205406;Ceres;GO;F;B;A;A
1;F;0;5205406;Ceres;GO;C;A;A;A
6;F;3;5205406;Ceres;GO;F;A;B;D
6;M;3;5208608;Goianésia;GO;C;A;A;A
3;M;0;5208608;Goianésia;GO;H;A;B;A
2;M;0;5208608;Goianésia;GO;D;A;B;A
4;M;2;5218904;Rubiataba;GO;D;A;A;A
2;F;0;5218904;Rubiataba;GO;B;A;A;A
1;F;0;5210901;Itapaci;GO;D;A;A;C
4;M;1;5205406;Ceres;GO;C;A;A;A
3;F;1;5208608;Goianésia;GO;D;B;B;A
1;F;0;5210901;Itapaci;GO;C;A;A;A
1;F;0;5208608;Goianésia;GO;E;A;A;A
3;F;0;5211800;Jaraguá;GO;B;A;A;A
15;F;18;5208608;Goianésia;GO;E;A;B;A
13;M;17;5205406;Ceres;GO;D;A;A;A
1;M;0;5211206;Itapuranga;GO;F;A;B;A
2;M;0;5208608;Goianésia;GO;H;B;D;A
9;F;6;5205406;Ceres;GO;B;A;A;A
1;F;0;5205406;Ceres;GO;H;B;B;A
5;M;0;5205406;Ceres;GO;C;A;D;A
9;F;6;5205406;Ceres;GO;B;A;A;A
6;M;4;5210901;Itapaci;GO;C;A;A;A
3;M;1;5205406;Ceres;GO;E;A;B;A
4;F;1;5205406;Ceres;GO;B;A;A;A
3;M;0;5205406;Ceres;GO;D;A;A;A
3;F;1;5205406;Ceres;GO;E;A;A;A
1;F;0;5205406;Ceres;GO;H;A;B;A
1;M;0;5208608;Goianésia;GO;C;A;B;A
5;M;1;5208608;Goianésia;GO;B;A;B;A
11;F;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;F;B;A;A
1;F;0;5205406;Ceres;GO;D;A;B;F
6;F;4;5210901;Itapaci;GO;D;A;B;D
1;F;0;5211206;Itapuranga;GO;E;A;B;A
5;F;3;5208608;Goianésia;GO;G;A;B;B
1;F;0;5210901;Itapaci;GO;B;A;B;A
3;F;0;5208608;Goianésia;GO;C;A;B;A
1;F;0;5210901;Itapaci;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;C;A;C;A
4;F;1;5211800;Jaraguá;GO;D;A;B;A
3;F;0;5210901;Itapaci;GO;C;A;B;A
2;M;0;5211800;Jaraguá;GO;C;A;A;B
3;F;0;5208608;Goianésia;GO;B;A;A;D
2;M;0;5205406;Ceres;GO;H;B;C;A
3;M;0;5211206;Itapuranga;GO;D;B;C;A
3;F;0;5205406;Ceres;GO;E;A;A;A
3;F;0;5211206;Itapuranga;GO;E;A;B;A
5;F;2;5205406;Ceres;GO;B;A;A;A
3;M;0;5218904;Rubiataba;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;B;A;A;A
1;M;0;5208608;Goianésia;GO;H;B;B;A
3;M;0;5211206;Itapuranga;GO;H;A;C;A
3;F;0;5208608;Goianésia;GO;F;A;A;A
2;M;0;5211206;Itapuranga;GO;L;B;C;A
2;M;0;5205406;Ceres;GO;C;A;A;A
3;F;0;5211800;Jaraguá;GO;B;A;A;A
3;M;0;5211800;Jaraguá;GO;A;A;A;A
1;M;0;5218904;Rubiataba;GO;N;B;B;A
5;M;3;5208608;Goianésia;GO;C;A;B;A
1;M;0;5211206;Itapuranga;GO;G;B;B;A
1;F;0;5205406;Ceres;GO;G;A;A;A
3;M;0;5211800;Jaraguá;GO;A;B;B;E
4;M;2;5208608;Goianésia;GO;E;B;B;A
2;F;0;5205406;Ceres;GO;D;B;B;A
7;M;4;5211800;Jaraguá;GO;D;A;B;D
3;M;0;5205406;Ceres;GO;B;B;A;A
3;M;0;5211206;Itapuranga;GO;B;A;A;A
4;F;1;5211206;Itapuranga;GO;B;A;B;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
3;M;0;5205406;Ceres;GO;B;A;A;A
2;M;0;5211800;Jaraguá;GO;B;A;A;C
2;F;0;5211206;Itapuranga;GO;E;A;B;B
1;F;0;5205406;Ceres;GO;D;A;A;A
3;F;0;5205406;Ceres;GO;B;A;B;A
2;F;0;5205406;Ceres;GO;D;B;A;A
1;F;0;5208608;Goianésia;GO;C;A;B;A
2;M;0;5211800;Jaraguá;GO;J;B;A;A
4;F;0;5205406;Ceres;GO;C;A;B;B
3;M;1;5205406;Ceres;GO;C;A;A;A
3;F;0;5211800;Jaraguá;GO;B;A;B;A
1;F;0;5205406;Ceres;GO;F;B;B;D
3;F;0;5208608;Goianésia;GO;C;A;B;A
2;M;0;5211206;Itapuranga;GO;D;B;B;A
3;M;0;5208608;Goianésia;GO;E;A;A;A
2;M;0;5205406;Ceres;GO;C;B;B;A
3;M;0;5210901;Itapaci;GO;C;A;A;A
2;M;0;5211206;Itapuranga;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;E;B;B;A
1;M;0;5208608;Goianésia;GO;E;B;B;A
1;M;0;5218904;Rubiataba;GO;C;A;A;A
3;M;0;5211800;Jaraguá;GO;C;A;A;A
1;F;0;5210901;Itapaci;GO;J;A;B;D
4;F;1;5208608;Goianésia;GO;K;B;C;A
1;F;0;5211800;Jaraguá;GO;H;A;B;A
1;F;0;5211206;Itapuranga;GO;C;A;A;A
1;M;0;5211206;Itapuranga;GO;B;B;B;A
3;F;0;5205406;Ceres;GO;C;B;A;A
3;F;0;5205406;Ceres;GO;D;B;B;A
8;F;6;5208608;Goianésia;GO;D;A;B;D
3;F;0;5218904;Rubiataba;GO;B;A;A;A
6;F;4;5208608;Goianésia;GO;K;A;B;B
1;M;0;5208608;Goianésia;GO;H;B;A;D
3;F;1;5211206;Itapuranga;GO;B;A;A;A
9;M;3;5205406;Ceres;GO;C;A;A;A
11;F;10;5211800;Jaraguá;GO;B;A;B;B
2;M;0;5218904;Rubiataba;GO;C;A;A;A
6;F;3;5208608;Goianésia;GO;C;A;A;A
1;M;0;5205406;Ceres;GO;L;B;B;E
3;M;0;5218904;Rubiataba;GO;D;A;C;C
3;M;0;5208608;Goianésia;GO;E;A;A;A
3;M;0;5210901;Itapaci;GO;A;A;A;A
2;M;0;5208608;Goianésia;GO;B;A;C;A
11;F;11;5211800;Jaraguá;GO;C;A;C;A
1;M;0;5210901;Itapaci;GO;B;B;A;A
2;M;0;5211206;Itapuranga;GO;E;B;B;A
4;F;2;5211206;Itapuranga;GO;A;A;B;A
3;M;0;5211800;Jaraguá;GO;A;A;A;A
1;F;0;5208608;Goianésia;GO;D;A;B;A
5;M;0;5208608;Goianésia;GO;B;A;B;A
2;M;0;5210901;Itapaci;GO;F;B;B;B
1;M;0;5205406;Ceres;GO;Q;B;B;D
2;M;0;5210901;Itapaci;GO;B;A;A;A
1;M;0;5210901;Itapaci;GO;A;A;B;A
7;F;4;5218904;Rubiataba;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;C;A;B;A
3;M;0;5208608;Goianésia;GO;E;B;A;A
9;F;6;5205406;Ceres;GO;B;A;A;A
9;M;7;5208608;Goianésia;GO;H;A;B;A
6;F;3;5205406;Ceres;GO;B;A;A;A
13;F;18;5211206;Itapuranga;GO;B;A;A;A
4;F;2;5210901;Itapaci;GO;H;B;B;A
2;F;0;5205406;Ceres;GO;D;A;A;A
11;M;10;5218904;Rubiataba;GO;B;A;A;A
2;F;0;5210901;Itapaci;GO;C;A;A;A
3;F;0;5211206;Itapuranga;GO;E;A;B;A
3;F;0;5208608;Goianésia;GO;D;B;B;A
3;M;0;5210901;Itapaci;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;C;A;A;D
2;F;0;5210901;Itapaci;GO;K;B;C;E
4;M;1;5208608;Goianésia;GO;F;A;B;A
3;M;0;5205406;Ceres;GO;C;A;A;A
2;F;0;5210901;Itapaci;GO;D;A;C;A
1;F;0;5211800;Jaraguá;GO;E;A;A;A
8;M;5;5208608;Goianésia;GO;D;A;B;A
6;F;3;5208608;Goianésia;GO;B;B;B;A
2;M;0;5208608;Goianésia;GO;D;B;A;A
12;M;15;5218904;Rubiataba;GO;F;A;B;D
2;M;0;5210901;Itapaci;GO;G;B;C;A
2;F;0;5208608;Goianésia;GO;P;B;B;D
3;F;0;5205406;Ceres;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
15;F;18;5210901;Itapaci;GO;C;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
5;F;3;5210901;Itapaci;GO;F;A;A;B
3;F;0;5208608;Goianésia;GO;C;A;A;D
3;F;0;5211800;Jaraguá;GO;N;B;D;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
2;M;0;5211206;Itapuranga;GO;C;A;A;A
4;F;1;5208608;Goianésia;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;E;A;A;A
2;M;0;5205406;Ceres;GO;C;A;B;E
1;F;0;5205406;Ceres;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;E;A;A;A
4;F;2;5205406;Ceres;GO;B;B;B;A
3;F;0;5205406;Ceres;GO;B;A;C;A
2;F;0;5205406;Ceres;GO;C;A;C;A
3;M;0;5208608;Goianésia;GO;H;B;B;A
3;F;1;5205406;Ceres;GO;I;A;B;A
2;F;0;5218904;Rubiataba;GO;B;A;A;A
4;F;1;5205406;Ceres;GO;C;A;B;A
5;F;3;5210901;Itapaci;GO;C;A;A;A
1;F;0;5211800;Jaraguá;GO;A;A;A;A
5;F;3;5205406;Ceres;GO;A;A;A;A
1;F;0;5208608;Goianésia;GO;B;A;B;A
1;M;0;5208608;Goianésia;GO;P;A;C;D
11;F;10;5211800;Jaraguá;GO;C;A;A;A
11;F;3;5205406;Ceres;GO;C;A;A;A
2;M;0;5208608;Goianésia;GO;N;B;C;A
11;M;10;5208608;Goianésia;GO;B;A;A;A
3;M;1;5211206;Itapuranga;GO;H;A;A;B
2;M;0;5205406;Ceres;GO;B;A;A;A
10;M;7;5208608;Goianésia;GO;B;A;A;A
1;F;0;5211800;Jaraguá;GO;B;A;A;A
1;M;0;5205406;Ceres;GO;E;B;B;A
5;F;3;5208608;Goianésia;GO;D;A;B;A
2;M;0;5211206;Itapuranga;GO;K;B;A;A
1;M;0;5218904;Rubiataba;GO;C;A;B;A
5;F;3;5211800;Jaraguá;GO;B;A;B;A
6;M;5;5218904;Rubiataba;GO;C;A;B;A
2;F;0;5208608;Goianésia;GO;N;B;B;A
1;F;0;5208608;Goianésia;GO;D;B;A;A
1;F;0;5211800;Jaraguá;GO;G;A;C;D
1;M;0;5208608;Goianésia;GO;D;B;A;A
1;F;0;5208608;Goianésia;GO;H;A;B;A
1;F;0;5211206;Itapuranga;GO;C;B;A;A
3;M;0;5211800;Jaraguá;GO;C;A;A;A
7;F;4;5211206;Itapuranga;GO;C;A;A;A
9;F;7;5208608;Goianésia;GO;E;A;B;A
11;F;10;5208608;Goianésia;GO;B;A;A;A
4;F;2;5208608;Goianésia;GO;B;A;B;A
1;F;0;5211800;Jaraguá;GO;G;A;A;E
10;M;7;5205406;Ceres;GO;B;A;A;A
6;F;3;5211206;Itapuranga;GO;A;A;B;A
6;M;4;5208608;Goianésia;GO;P;A;C;D
2;M;0;5218904;Rubiataba;GO;C;A;A;A
1;F;0;5205406;Ceres;GO;G;B;B;B
3;F;0;5208608;Goianésia;GO;G;A;B;A
2;M;0;5210901;Itapaci;GO;C;A;A;A
1;F;0;5208608;Goianésia;GO;G;A;A;A
3;M;0;5208608;Goianésia;GO;E;A;A;A
2;F;0;5205406;Ceres;GO;B;A;A;A
4;M;1;5205406;Ceres;GO;J;A;B;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;C;A;B;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;D;A;B;A
3;F;0;5205406;Ceres;GO;H;A;B;A
2;F;0;5208608;Goianésia;GO;E;B;B;A
2;M;0;5210901;Itapaci;GO;B;A;B;A
1;F;0;5205406;Ceres;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;D;A;A;A
1;F;0;5211800;Jaraguá;GO;G;A;B;A
4;F;2;5208608;Goianésia;GO;F;A;C;A
3;F;0;5210901;Itapaci;GO;B;A;A;A
1;M;0;5205406;Ceres;GO;B;A;A;A
1;F;0;5205406;Ceres;GO;F;B;A;A
3;F;0;5210901;Itapaci;GO;E;A;B;A
1;F;0;5211800;Jaraguá;GO;A;A;A;A
4;F;1;5218904;Rubiataba;GO;C;B;B;A
2;F;0;5218904;Rubiataba;GO;C;A;B;A
5;F;2;5210901;Itapaci;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5210901;Itapaci;GO;C;B;A;B
3;F;0;5210901;Itapaci;GO;B;A;B;A
3;F;0;5211206;Itapuranga;GO;J;A;B;A
3;F;1;5208608;Goianésia;GO;A;A;A;A
1;F;0;5210901;Itapaci;GO;E;A;A;A
6;F;4;5208608;Goianésia;GO;C;B;B;A
2;M;0;5205406;Ceres;GO;C;A;B;A
1;F;0;5208608;Goianésia;GO;M;B;C;D
1;M;0;5205406;Ceres;GO;D;A;A;A
2;M;0;5210901;Itapaci;GO;E;A;A;D
10;M;7;5210901;Itapaci;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;H;A;B;D
4;M;1;5210901;Itapaci;GO;F;B;A;A
2;M;0;5211206;Itapuranga;GO;G;A;C;A
3;F;1;5205406;Ceres;GO;E;A;B;A
1;M;0;5211206;Itapuranga;GO;C;B;B;A
1;F;0;5208608;Goianésia;GO;E;A;B;A
